index,Hotel_Name,city,lat,lng,avg_rating,review_count,dataset_total_reviews,noise_sentiment,location_sentiment,cleanliness_sentiment,staff_sentiment,value_sentiment,quiet_positive_rate,quiet_negative_rate,crowded_positive_rate,crowded_negative_rate,quiet_net,crowded_net,city_center_lat,city_center_lng,distance_from_center_km,distance_percentile_within_city,distance_from_center_pct,distance_sweet_spot,centrality_score,log_review_count,hidden_score_base,city_hidden_percentile
30,Adria Boutique Hotel,London,51.4933372,-0.1788931,0.8199738199738202,0.041214750542299346,0.026162266193540628,0.2799553387788682,0.3221744897709743,0.1864944624154104,0.36533618827273073,0.3658578398482095,0.12820512820512822,0.10256410256410256,0.07692307692307693,0.0,0.2842809364548495,0.5384615384615384,51.5073,-0.1277,3.8687907466001406,0.67,67.0,0.6599999999999999,0.32999999999999996,0.025825888428260637,0.42427421601375936,0.85
31,Ako Suites Hotel,Barcelona,41.3861153,2.1611899,0.8076576576576575,0.020607375271149673,0.0437842064112588,0.25192298510313216,0.2955723378222423,0.27610378131734836,0.3487139515525901,0.40165649969928685,0.16666666666666669,0.0,0.0,0.0,0.34782608695652173,0.5,41.3825,2.1769,1.370937625272102,0.3798076923076923,38.0,0.7596153846153846,0.6201923076923077,0.04285276925550722,0.42879250102747885,0.7788461538461539
32,Albus Hotel Amsterdam City Centre,Amsterdam,52.365823,4.893243,0.7082537082537081,0.03470715835140998,0.03133457629157395,0.28215353759836015,0.4127338483665993,0.2031753297369604,0.3845069651232105,0.2620128599336435,0.15151515151515152,0.0,0.0,0.2727272727272727,0.3359683794466403,0.36363636363636365,52.3728,4.8936,0.7761855214932153,0.26666666666666666,26.7,0.5333333333333333,0.7333333333333334,0.030853668677488292,0.3811394342247603,0.5428571428571428
33,Alexandra Barcelona A DoubleTree by Hilton,Barcelona,41.3931918,2.16152,0.6021021021021022,0.014099783080260305,0.01852408732784026,0.3231478522779794,0.2897487126298742,0.16497894001574792,0.3281613590434246,0.12062952471201707,0.23809523809523808,0.2857142857142857,0.0,0.21428571428571427,0.3105590062111801,0.39285714285714285,41.3825,2.1769,1.7491919915263976,0.47596153846153844,47.6,0.9519230769230769,0.5240384615384616,0.018354606211492656,0.31632226842663325,0.09134615384615384
34,Alma Barcelona GL,Barcelona,41.3945074,2.1632659,0.8335362389416445,0.039045553145336226,0.03307872737114332,0.25587505495832463,0.33138577518707435,0.15953738036665457,0.21907408292629482,0.395025357547911,0.1801801801801802,0.10810810810810811,0.08108108108108109,0.08108108108108109,0.32314923619271446,0.5,41.3825,2.1769,1.7539497785344371,0.4807692307692308,48.1,0.9615384615384616,0.5192307692307692,0.03254339959664596,0.39939998591188036,0.6057692307692307
35,Alma Boutique Hotel,Vienna,48.2112491,16.3776519,0.7578378378378376,0.026030368763557483,0.041318337643591746,0.2380290297937357,0.5932196690635819,0.19443358935059157,0.543170589284241,0.6100174929117622,0.13333333333333333,0.0,0.0,0.0,0.32173913043478264,0.5,48.2084,16.3725,0.4960911096300724,0.17006802721088435,17.0,0.34013605442176864,0.8299319727891157,0.04048754273533965,0.48009422018671716,0.9727891156462585
36,Aloft London Excel,London,51.5083719,0.0355768,0.7033397033397035,0.2494577006507592,0.13766764900463102,0.2311417128835005,0.23654305459350453,0.24349463560145163,0.2445373228516309,0.4595937182310582,0.07215007215007214,0.017316017316017316,0.012987012987012988,0.06493506493506493,0.2682100508187465,0.474025974025974,51.5073,-0.1277,11.300779625860379,0.9675,96.8,0.06499999999999995,0.03249999999999997,0.12898024472338698,0.36723878785775715,0.4775
37,Am Spiegeln,Vienna,48.1537005,16.2825822,0.6111111111111114,0.0032537960954446858,0.01184819871293679,0.49045072574484344,0.16429754171443128,0.26047038108414033,0.43387885352929134,0.4865538276484235,0.8333333333333334,0.0,0.0,0.0,0.8695652173913043,0.5,48.2084,16.3725,9.024392522708885,1.0,100.0,0.0,0.0,0.011778558342156284,0.4010270001190102,0.6258503401360545
38,Amadi Panorama Hotel,Amsterdam,52.3588806,4.9886041,0.6684984984984987,0.10737527114967463,0.15294400673603176,0.2558649944402427,0.23134994191050745,0.20856062700742292,0.3721265992841366,0.380866980658028,0.08333333333333334,0.08,0.0,0.06,0.25652173913043474,0.47,52.3728,4.8936,6.633635833383445,0.9428571428571428,94.3,0.11428571428571432,0.05714285714285716,0.14231867699931075,0.36434489134419573,0.4380952380952381
39,Amadi Park Hotel,Amsterdam,52.364962,4.873495,0.6200046200046201,0.09761388286334058,0.09454501714079509,0.28588069631910246,0.280650012846803,0.30658893860840364,0.43355053061815185,0.4519118822874763,0.18315018315018317,0.0,0.03296703296703297,0.13186813186813187,0.3607262302914477,0.45054945054945056,52.3728,4.8936,1.6194999735746514,0.47619047619047616,47.6,0.9523809523809523,0.5238095238095238,0.0903387674600274,0.3877562205642996,0.638095238095238
40,Amarante Beau Manoir,Paris,48.870994,2.3235329,0.23671947809878846,0.030368763557483733,0.043062488723161124,0.2892837385737994,0.35840881240694134,0.1605404258300089,0.19611296489363594,0.28903300733858517,0.1724137931034483,0.0,0.0,0.10344827586206896,0.3523238380809595,0.4482758620689655,48.8535,2.3484,2.663272108618027,0.4779735682819383,47.8,0.9559471365638766,0.5220264317180616,0.042161086710206346,0.2109059397415021,0.01762114537444934
41,Amarante Champs Elys es,Paris,48.8717649,2.2983855,0.4639639639639641,0.02928416485900217,0.02532026222409334,0.23575793953945212,0.49696408100878864,0.1838575896007111,0.4513679480048014,0.42530858893948503,0.05952380952380952,0.0,0.0,0.21428571428571427,0.2639751552795031,0.39285714285714285,48.8535,2.3484,4.184543262640666,0.8193832599118943,81.9,0.3612334801762114,0.1806167400881057,0.02500501473807364,0.33831154432759936,0.22246696035242292
42,Amba Hotel Charing Cross,London,51.508236,-0.1261963,0.8780780780780781,0.17245119305856832,0.09929632525410477,0.26985318945808223,0.3443725442871255,0.22518786082157385,0.5252744423237437,0.3902323174076546,0.11458333333333334,0.05,0.056249999999999994,0.15000000000000002,0.2907608695652174,0.453125,51.5073,-0.1277,0.1471825295227925,0.01,1.0,0.020000000000000018,0.99,0.09467027079176753,0.46420506047091886,0.9775
43,Amba Hotel Marble Arch,London,51.5144004,-0.1565506,0.7324597324597324,0.2733188720173536,0.23678354483671135,0.2280268197828898,0.33162598219272654,0.21870028836143496,0.2987059826555808,0.3973022480006908,0.06587615283267458,0.015810276679841896,0.035573122529644265,0.2015810276679842,0.2637910293864925,0.4169960474308301,51.5073,-0.1277,2.147014950421993,0.3525,35.2,0.705,0.6475,0.21251409413501582,0.37233960929795284,0.5325
44,Ambassade Hotel,Amsterdam,52.369391,4.8871721,0.8862953862953864,0.09436008676789588,0.09430444457809586,0.27051841250077363,0.35628672433743297,0.1668936178251444,0.45436582389607794,0.35343581679177516,0.11363636363636363,0.0,0.06818181818181818,0.03409090909090909,0.30632411067193677,0.5170454545454546,52.3728,4.8936,0.5780333731874306,0.17142857142857143,17.1,0.34285714285714286,0.8285714285714285,0.09011895100588077,0.45089113450495794,0.9428571428571428
45,Ambassadors Bloomsbury,London,51.5266618,-0.1296571,0.5293055293055293,0.15401301518438176,0.08889156191736332,0.2612461386334572,0.3274003738092389,0.28458020062146183,0.25745966128025444,0.4564737676620141,0.08158508158508158,0.0,0.06293706293706294,0.1048951048951049,0.281240498631803,0.479020979020979,51.5073,-0.1277,2.1571887559762373,0.36,36.0,0.72,0.64,0.08516026315936213,0.33510689768466395,0.24
46,Amp re,Paris,48.8848583,2.2997023,0.8460352244136029,0.039045553145336226,0.05743669934443976,0.2685559727576534,0.2614481520113923,0.1883096609887185,0.2717553839227289,0.37646898552474634,0.13513513513513514,0.0,0.08108108108108109,0.0,0.32314923619271446,0.5405405405405406,48.8535,2.3484,4.984482154700237,0.9361233480176211,93.6,0.12775330396475781,0.06387665198237891,0.05584777137074447,0.41067524652163995,0.6211453744493393
47,Amsterdam Canal Residence,Amsterdam,52.3594783,4.895853,0.6798336798336799,0.013015184381778743,0.012750345823058881,0.3802667920314979,0.31276015794166345,0.16486709136605002,0.5026749531887571,0.28868459489646875,0.0,0.0,0.0,0.46153846153846156,0.21739130434782608,0.2692307692307692,52.3728,4.8936,1.489183108851278,0.44761904761904764,44.8,0.8952380952380953,0.5523809523809524,0.012669744569929574,0.37854215481486847,0.5238095238095238
48,Amsterdam Marriott Hotel,Amsterdam,52.362514,4.8800077,0.6277741155789935,0.08785249457700652,0.09099657184098153,0.2288631638908335,0.3436694653742661,0.16162651677656276,0.3004811355312663,0.384028207658999,0.020325203252032523,0.0,0.0,0.18292682926829268,0.23329798515376457,0.4085365853658537,52.3728,4.8936,1.4696296070628543,0.4380952380952381,43.8,0.8761904761904762,0.5619047619047619,0.08709156462874816,0.3398035465174302,0.2761904761904762
49,Andaz Amsterdam Prinsengracht A Hyatt Hotel,Amsterdam,52.3678368,4.8830788,0.8723723723723724,0.044468546637744036,0.04859565766524328,0.231627806876088,0.35715658688528384,0.12778480054742075,0.4741404821915406,0.4729245837932151,0.03968253968253968,0.19047619047619047,0.07142857142857142,0.07142857142857142,0.18633540372670807,0.5,52.3728,4.8936,0.9026553324183496,0.3238095238095238,32.4,0.6476190476190476,0.6761904761904762,0.04745180006937211,0.4522273833031174,0.9523809523809523
50,Andaz London Liverpool Street,London,51.5172825,-0.0812451,0.7948857948857948,0.10629067245119307,0.07457749443675948,0.2599936745435854,0.29801357778197246,0.19299012630910617,0.4396615337276598,0.4977935120602016,0.06734006734006735,0.04040404040404041,0.030303030303030304,0.18181818181818182,0.25691699604743085,0.42424242424242425,51.5073,-0.1277,3.401000739018254,0.565,56.5,0.8700000000000001,0.43500000000000005,0.07192755589278778,0.4262562770242808,0.86
51,Andreola Central Hotel,Milan,45.4836517,9.2078581,0.5822919693887438,0.03253796095444685,0.0656763096168882,0.22068064762561915,0.4711607627546932,0.22167483967604842,0.1477042285134331,0.28602883458499584,0.053763440860215055,0.0,0.0,0.0,0.2594670406732118,0.5,45.4668,9.1905,2.31149790170301,0.5679012345679012,56.8,0.8641975308641976,0.4320987654320988,0.06360963011768993,0.32470099403569164,0.3148148148148148
52,Antares Hotel Accademia,Milan,45.4921089,9.1476806,0.6306306306306306,0.0065075921908893716,0.022373248331027846,0.1564989632216523,0.2820277671634186,0.33382646676998307,0.46640512925608224,0.32525131025002146,0.0,0.0,0.0,0.42857142857142855,0.21739130434782608,0.2857142857142857,45.4668,9.1905,4.366364001265172,0.845679012345679,84.6,0.308641975308642,0.154320987654321,0.022126638738390284,0.36306682929111733,0.6111111111111112
53,Antares Hotel Rubens,Milan,45.4670579,9.1427822,0.7897897897897899,0.019522776572668113,0.07145005112166958,0.2983705530929205,0.32205358778542215,0.1962546691258265,0.3032492936850987,0.5045995692039619,0.08771929824561403,0.0,0.15789473684210525,0.3157894736842105,0.2860411899313501,0.42105263157894735,45.4668,9.1905,3.721302851906487,0.8024691358024691,80.2,0.3950617283950617,0.19753086419753085,0.069012918999557,0.40512478273261776,0.8395061728395061
54,Antica Locanda Dei Mercanti,Milan,45.467298,9.1846982,0.8436561561561562,0.016268980477223426,0.01744151079569375,0.30402297282549384,0.3819572984333206,0.2534207756974747,0.3273283416771575,0.4307715439470745,0.3125,0.0,0.0,0.1875,0.46195652173913043,0.40625,45.4668,9.1905,0.45581877429846535,0.11728395061728394,11.7,0.23456790123456783,0.8827160493827161,0.017291153434912384,0.44164483830188495,0.9320987654320988
